Water_Consumption_Per_Building,Recycling_Rate,Utilization_Rate,Air_Quality_Index,Issue_Resolution_Time,Resident_Count,Water_Per_Resident,high_water_residents,low_air_high_issue,low_air_high_residents,high_issue_residents,high_recycling_utilization,Site_Area_Banashankari,Site_Area_Electronic City,Site_Area_HSR Layout,Site_Area_Hebbal,Site_Area_Indiranagar,Site_Area_Jayanagar,Site_Area_Koramangala,Site_Area_Malleshwaram,Site_Area_Whitefield,Site_Area_Yelahanka,Structure_Type_Industrial,Structure_Type_Institutional,Structure_Type_Residential,Electricity_Cost
0.022967669844594783,0.35861716335623195,0.9348433499731343,0.47441124380402716,0.4114787297883966,0.1582360570687419,0.0004005391611041002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14860.03413
0.07178604097318389,0.18263631792612173,0.8017590004572399,0.09490044684442812,0.5690537747457844,0.3463035019455253,0.0003897278008691625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19483.64077
0.30675727153209875,0.20576766221272788,0.7900232545641639,0.060405734284211754,0.24673907589039523,0.4993514915693904,0.0010133456106630099,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31809.9243
0.6975588070005196,0.29567434650504504,0.5839868109372297,0.09772584999707032,0.5589611139863907,0.0,0.8891538833846034,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16824.12473
0.30583179515994946,0.3884692675337381,0.5770542075246328,0.008388894721969834,0.3489772327007087,0.35019455252918286,0.0014545811782593853,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16130.82255
0.3298981642068309,0.666109995738655,0.5250933332796328,0.2442987752088656,0.2601282291507114,0.5058365758754864,0.001073217910173886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,21130.75573
0.3751602806127816,0.21288544586459562,0.47880641460335377,0.005108792864590216,0.08319107838518681,0.3476005188067445,0.0017848478619924464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20158.41582
0.5711459248649956,0.5094326303216294,0.48494468221417414,0.5557827866180985,0.021715304983308314,0.2853437094682231,0.003278685705481586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20403.49876
0.3393307684307121,0.37241065671729584,0.4168858277349287,0.24771851170980244,0.2216628164205779,0.6407263294422827,0.0008636852006372742,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28681.6876
0.0,0.12613382529751271,0.7476075774660689,0.253649922873575,0.2866491406397711,0.4098573281452659,4.340699394955348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25531.4632
0.016977388795078898,0.15908412008603504,0.7915458870249157,0.048591736675264494,0.38979128442736916,0.21011673151750973,0.00024780107176626857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14517.95319
0.2234542294439722,0.4491118326541872,0.8431903029082082,0.2629059017407501,0.2869368759549953,0.20233463035019456,0.0018873946386487232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15898.68475
0.3138230232308345,0.16969986898753664,0.21607295845126395,0.05374150602552255,0.2086502708867784,0.5758754863813229,0.0008938297731264491,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20700.19394
0.31946944422808743,0.49916776869804647,0.6015356355290626,0.5880996133486869,0.5724777851031162,0.17898832684824903,0.002991986425289432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23806.5668
0.3215127926967189,0.048145323157590396,0.5084276823615848,0.2844188340644163,0.15791341576256346,0.36186770428015563,0.0014760142519390238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17658.95618
0.11393689601482485,0.1956769086909027,0.8778281405487318,0.46155600911233235,0.667646563780827,0.22827496757457846,0.0009037362604184527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17493.84784
0.332104094075587,0.12176291697275522,0.6652634972659717,0.02442250371093617,0.12100251976299446,0.08560311284046693,0.006479916927858334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10042.01698
0.0,0.0368814049854989,0.7995710297681466,0.44887190426447066,0.14717162371266196,0.0,0.025263100145274782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17761.42287
0.25776860859671846,0.6713014324743078,0.6720711696301016,0.40365127895399117,0.31472380839845915,0.07263294422827497,0.006008031087168799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5943.257819
0.3047572037360199,0.46647459769212185,0.7979478428924027,0.18483382106728816,0.20274379573936774,0.6316472114137484,0.0007888553358872562,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18718.17196
0.038562908789945394,0.21613461944210147,0.9154188324378145,0.4256166728946848,0.14608875824706036,0.35149156939040205,0.00023219227137203402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25879.86854
0.3779797252413879,0.2843003807624476,0.4572056014113696,0.30660661649628385,0.0677709135002265,0.44617380025940334,0.0013937659364390929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20930.52033
0.2488244285931806,0.4136292207891226,0.3992048257353173,0.0444009863807188,0.06739944848405788,0.42153047989623865,0.0009864683514960732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19247.35077
0.30363691394056636,0.47132208221490723,0.5157156644327592,0.07056194726057001,0.1604230085519206,0.42282749675745784,0.00119093189758966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19851.07406
0.0,0.3048409496509327,0.3317896643712826,0.1585678772428412,0.19007061108589662,0.0,0.025263100145274782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13688.57595
0.0,0.23356172565813646,0.6700817412865547,0.6486960667245756,0.7571449924196934,0.10765239948119326,0.0002647823896796159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13683.34628
0.4169692001722544,0.5215692308565217,0.7180383063328601,0.6730576815798937,0.26321894134711277,0.7237354085603113,0.0009326398018318915,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25343.0892
0.10254438084100495,0.03344980283509627,0.8995300433902955,0.4871724009190788,0.4965050868857183,0.549935149156939,0.00032194008623194373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21007.12367
0.33151147828561367,0.3986998055092325,0.9610605692794141,0.12567975101040793,0.036537391741200756,0.3009079118028534,0.001834239275106139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19371.86046
0.0,0.39432654228293773,0.7142276458883727,0.09514148342350405,0.08812061755772253,0.2840466926070039,7.85955761658732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17355.45545
